[QUOTE_UNIXTIME], [QUOTE_READTIME], [QUOTE_DATE], [QUOTE_TIME_HOURS], [UNDERLYING_LAST], [EXPIRE_DATE], [EXPIRE_UNIX], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_RHO], [C_IV], [C_VOLUME], [C_LAST], [C_SIZE], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_SIZE], [P_LAST], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [P_RHO], [P_IV], [P_VOLUME], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-08, 1654718400, 7.000000, 1.000000, 0.000000, 0.000000, -0.000110, 0.003110, , , 0.000000, 28 x 78, 12.780000, 13.250000, 13.000000, 0.000000, 0.010000, 0 x 77, 0.000000, -0.002390, 0.000830, 0.000650, -0.002530, -0.000500, 1.893800, , 12.700000, 0.494000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-08, 1654718400, 7.000000, 1.000000, 0.000000, 0.000000, -0.000490, 0.003210, , , 0.000000, 57 x 78, 12.280000, 12.750000, 13.500000, 0.000000, 0.020000, 0 x 79, 0.000000, -0.003650, 0.001470, 0.000120, -0.004470, -0.000280, 1.943050, , 12.200000, 0.474000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-08, 1654718400, 7.000000, 1.000000, 0.000000, 0.000000, -0.000760, 0.003160, , , 0.000000, 57 x 78, 11.780000, 12.250000, 14.000000, 0.000000, 0.020000, 0 x 82, 0.000000, -0.003940, 0.001610, 0.000530, -0.004410, 0.000000, 1.851410, , 11.700000, 0.455000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-08, 1654718400, 7.000000, 1.000000, 0.000000, 0.000000, -0.000260, 0.002920, , , 0.000000, 57 x 78, 11.280000, 11.750000, 14.500000, 0.000000, 0.020000, 0 x 85, 0.000000, -0.004320, 0.001730, 0.000620, -0.004670, -0.000240, 1.765660, , 11.200000, 0.435000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-08, 1654718400, 7.000000, 1.000000, 0.000000, 0.000000, -0.000260, 0.003380, , 4.000000, 11.100000, 57 x 78, 10.780000, 11.250000, 15.000000, 0.000000, 0.020000, 0 x 87, 0.030000, -0.004200, 0.001980, 0.000450, -0.004830, 0.000000, 1.683400, 1.000000, 10.700000, 0.416000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-08, 1654718400, 7.000000, 1.000000, 0.000000, 0.000000, -0.000670, 0.003650, , , 0.000000, 57 x 78, 9.780000, 10.250000, 16.000000, 0.000000, 0.020000, 0 x 81, 0.010000, -0.005370, 0.002300, 0.001020, -0.004850, -0.000140, 1.511990, 5.000000, 9.700000, 0.377000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-08, 1654718400, 7.000000, 1.000000, 0.000000, 0.000000, -0.000480, 0.003490, , , 0.000000, 57 x 78, 8.780000, 9.250000, 17.000000, 0.010000, 0.020000, 3 x 75, 0.030000, -0.007520, 0.003640, 0.000980, -0.006590, -0.000430, 1.426970, 1.000000, 8.700000, 0.338000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-08, 1654718400, 7.000000, 1.000000, 0.000000, 0.000000, -0.001220, 0.003780, , , 0.000000, 75 x 80, 7.780000, 8.250000, 18.000000, 0.010000, 0.030000, 6 x 129, 0.000000, -0.010470, 0.005170, 0.000770, -0.007910, -0.000060, 1.323700, , 7.700000, 0.299000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-08, 1654718400, 7.000000, 1.000000, 0.000000, 0.000000, -0.000680, 0.004310, , , 0.000000, 28 x 30, 6.780000, 7.260000, 19.000000, 0.010000, 0.030000, 9 x 1455, 0.020000, -0.011580, 0.006620, 0.000990, -0.007890, -0.000020, 1.176440, 1.000000, 6.700000, 0.260000
1654113600, 2022-06-01 16:00, 2022-06-01, 16.000000, 25.680000, 2022-06-08, 1654718400, 7.000000, 1.000000, 0.000000, 0.000000, -0.000580, 0.003800, , 5.000000, 6.480000, 22 x 78, 5.800000, 6.260000, 20.000000, 0.010000, 0.030000, 61 x 1166, 0.030000, -0.012960, 0.008240, 0.001200, -0.008340, 0.000000, 1.029180, 1.000000, 5.700000, 0.221000
