Implementation,PSteps,TSteps,MeanTime,StdTime,RunCount
gpu,140,50000,285.950173,15.67670559822159,10
hybrid1,200,40000,449.361068,14.276620184175876,10
hybrid2,140,80000,1007.5577989999999,34.22432919214422,10
hybrid2,200,20000,521.570125,18.189684479389378,10
gpu,60,30000,262.720541,20.631479449258258,10
hybrid2,80,100000,779.278719,14.300926997826599,10
base,140,90000,4718.147634,12.052797933379173,10
hybrid1,40,100000,424.76749,11.323996869551939,10
hybrid2,100,30000,444.35175300000003,15.658289107225853,10
hybrid1,60,50000,366.33693800000003,27.893324965894944,10
hybrid2,80,30000,400.795528,9.39580134408485,10
cpu_acc,100,10000,27.931361,0.4448807381622377,10
base,180,10000,303.974012,2.074194704113695,10
hybrid1,100,50000,397.47564700000004,13.899585314901426,10
gpu,20,80000,301.06199000000004,12.412399632176054,10
base,200,30000,2225.562883,20.46369531614578,10
cpu_acc,180,70000,330.609393,10.498597551847942,10
base,100,70000,2585.249944,23.931011024593285,10
hybrid1,200,10000,291.92148499999996,9.78802082363407,10
hybrid1,180,30000,364.824423,6.761407990796076,10
base,60,40000,837.481828,12.025440191282255,10
cpu_acc,200,50000,259.123801,0.10935952048683129,10
hybrid2,180,50000,863.3604929999999,14.842835812977286,10
gpu,180,80000,319.829105,19.801455361528493,10
hybrid2,200,70000,1191.116959,6.592726519667054,10
gpu,60,60000,279.397039,11.563191840651998,10
cpu_acc,40,80000,89.496059,0.079884109315378,10
gpu,160,40000,271.777712,17.94522556065961,10
hybrid2,160,90000,1240.117821,36.16722187257452,10
hybrid2,20,10000,253.535141,14.069774512149916,10
cpu_acc,160,100000,415.779529,0.39308775244352956,10
base,120,30000,1325.128127,7.651124799062119,10
hybrid2,200,100000,1626.523344,49.65205432905273,10
gpu,40,20000,242.26278299999998,21.385115515932032,10
base,80,80000,2372.572654,10.287888423061425,10
hybrid2,120,70000,806.30858,12.221564980734305,10
hybrid1,80,90000,484.45787899999993,7.738331493498877,10
hybrid1,120,100000,596.337504,13.73111949047629,10
cpu_acc,20,20000,12.461896,0.047327255055740786,10
hybrid1,120,10000,266.468297,9.005565132860955,10
cpu_acc,120,50000,155.60502300000002,0.6834909210166724,10
hybrid1,40,10000,242.272372,10.204126924882242,10
gpu,140,90000,315.181445,7.502664476993418,10
hybrid2,140,40000,607.944049,7.815169384164861,10
hybrid1,200,80000,676.259944,8.317958236003198,10
cpu_acc,80,90000,189.057747,0.24963034769435166,10
cpu_acc,140,60000,217.01845899999998,0.17717169917279862,10
hybrid1,20,20000,268.48094000000003,12.489974957953724,10
gpu,180,10000,233.777787,10.177103209401047,10
hybrid2,160,100000,1329.698433,12.16337728973063,10
gpu,200,30000,263.904358,11.536993892200101,10
hybrid1,140,20000,316.424035,19.344445363631877,10
cpu_acc,200,100000,515.757842,0.20601633262116478,10
cpu_acc,40,10000,12.086248000000001,0.17275777588545452,10
hybrid2,40,20000,298.721725,40.70568300770852,10
gpu,100,70000,304.44640300000003,10.027963468324248,10
base,20,30000,129.441228,9.016772572357466,10
cpu_acc,100,80000,211.033926,0.18212484681302268,10
base,180,80000,5350.515824,48.8921215231399,10
base,140,100000,5212.248821,7.261691985798411,10
gpu,20,10000,244.208724,17.654607751786745,10
gpu,120,30000,281.409026,15.223025421932547,10
base,160,40000,2375.4418130000004,8.320613760857968,10
hybrid2,60,60000,478.38790499999993,9.794819410920184,10
hybrid1,120,80000,534.440884,15.373676903718085,10
hybrid1,40,80000,391.921827,21.254116220012047,10
gpu,80,30000,259.985736,8.944784344502043,10
base,40,90000,1264.025106,18.670441998185968,10
hybrid2,20,80000,340.106216,13.097308916217354,10
cpu_acc,60,50000,81.481909,0.10029955438584985,10
base,80,10000,119.455767,0.19118255272848114,10
hybrid1,160,60000,508.826492,20.76543929619534,10
cpu_acc,160,20000,84.37213,0.05881734589198792,10
hybrid1,20,30000,271.940863,15.73851936818499,10
gpu,80,100000,351.10332400000004,23.331200393973262,10
cpu_acc,140,70000,255.790083,7.664432712313349,10
cpu_acc,100,100000,266.042684,4.751566929955731,10
hybrid1,140,30000,354.530258,9.01872932364249,10
gpu,200,20000,264.657564,23.047515782014926,10
hybrid2,140,50000,706.033735,11.244066763828297,10
hybrid1,200,90000,739.567239,16.219313102913556,10
gpu,140,80000,309.65482499999996,9.457607164819759,10
cpu_acc,80,80000,168.939837,0.11370989833294501,10
cpu_acc,100,90000,237.462504,0.39900847830591113,10
base,180,90000,5967.562849,16.415100910372118,10
gpu,100,60000,302.490127,10.26210277936582,10
base,140,10000,225.358372,0.9802934828554623,10
hybrid2,40,30000,300.857105,7.274569065299029,10
hybrid1,140,100000,646.756547,9.699102266042813,10
base,20,20000,89.274875,4.814324000861617,10
hybrid1,120,90000,567.306218,20.15811542355132,10
hybrid1,20,100000,385.276057,13.453301586137838,10
hybrid1,40,90000,427.27868099999995,21.395266180692843,10
hybrid1,80,10000,261.786992,12.06738458909321,10
hybrid2,60,70000,522.0477840000001,17.406034802942603,10
base,160,50000,2943.840607,12.081284067302986,10
gpu,120,20000,258.42999799999996,18.96385266042613,10
hybrid1,160,70000,561.654138,16.072056955974375,10
cpu_acc,60,40000,65.13538,0.20717854645476716,10
cpu_acc,160,30000,125.529251,0.1595924229926564,10
cpu_acc,60,100000,161.33225399999998,0.29633050183124404,10
base,40,80000,1119.708194,9.950047312118897,10
gpu,80,20000,263.744132,13.899429261049857,10
hybrid2,20,90000,354.819566,12.909136120241175,10
hybrid2,160,10000,339.606139,12.255394863182547,10
base,80,100000,2969.715253,2.5126058843760233,10
hybrid2,80,20000,335.582408,11.289603701768964,10
hybrid1,60,40000,328.613432,11.847304967649157,10
base,200,20000,1493.030343,2.447714352493179,10
gpu,20,90000,303.401232,8.066953596002785,10
hybrid1,100,40000,367.450659,7.580081143629667,10
hybrid2,100,20000,382.980029,17.439693399117132,10
base,140,80000,4176.081699,6.0240547812534775,10
gpu,180,90000,320.406864,10.498133500591853,10
hybrid2,180,40000,718.051857,13.449388715417559,10
gpu,60,70000,293.949649,10.943042485713061,10
cpu_acc,40,90000,98.90675,0.22660727790607268,10
hybrid2,200,60000,1073.50394,19.903669780991024,10
gpu,140,10000,247.097761,16.338883047424318,10
cpu_acc,180,60000,280.25566399999997,0.18232907887784658,10
base,100,60000,2226.249565,12.720169889510268,10
cpu_acc,80,10000,22.157996,0.06603810317620558,10
cpu_acc,200,40000,207.28061699999998,0.11943957496482369,10
base,60,50000,1078.235269,12.72556019170209,10
hybrid1,180,20000,376.421106,21.90002900152834,10
base,80,90000,2673.527666,1.0065529791344494,10
gpu,40,30000,252.63249299999998,16.193242398915146,10
hybrid2,100,100000,929.53522,15.55171388378213,10
base,40,10000,59.059495000000005,0.08667675277848312,10
base,120,20000,826.200534,6.653748200155407,10
hybrid2,160,80000,1135.55338,48.36250751312263,10
gpu,160,50000,285.89730399999996,13.450652740930211,10
cpu_acc,20,30000,18.15372,0.0636942366135101,10
cpu_acc,120,40000,127.840581,5.0578665248248,10
hybrid1,80,80000,465.040002,12.570985400905268,10
hybrid2,120,60000,727.712404,30.344895968367183,10
base,120,100000,4467.044124,11.613322252619206,10
base,200,90000,6690.213307,16.75112262019297,10
gpu,20,20000,252.26992,8.788181880996015,10
hybrid2,80,90000,768.616908,43.54133811104845,10
hybrid2,40,10000,256.726547,10.06309863712636,10
base,140,30000,1549.963954,13.810142913085599,10
gpu,100,40000,274.322936,9.956035018508116,10
hybrid2,100,90000,872.3525739999999,16.468504099575597,10
hybrid1,140,10000,271.96282,13.554073116975243,10
base,180,100000,6707.852038,35.91961914154008,10
cpu_acc,40,20000,22.879861,0.16752734220949667,10
cpu_acc,140,50000,180.556343,0.7888112701478261,10
hybrid1,20,10000,237.745644,12.702117170528174,10
gpu,180,20000,267.365953,34.08848812589834,10
hybrid1,180,90000,674.253952,9.090182260652655,10
gpu,200,100000,363.679308,22.31468534378939,10
hybrid2,140,70000,921.252162,26.17545590532465,10
cpu_acc,160,10000,42.870807,0.1285369629544575,10
cpu_acc,60,60000,95.70995500000001,0.14426952178705738,10
gpu,40,80000,303.166469,12.120003664543312,10
base,80,20000,456.75465,5.961851601367926,10
hybrid1,160,50000,459.412134,14.179750072411322,10
hybrid2,160,30000,558.07416,12.880840319747952,10
base,120,90000,4040.0818310000004,6.268927179613596,10
hybrid2,60,100000,639.356753,11.21274581386741,10
base,20,100000,457.97725499999996,21.017792157382193,10
cpu_acc,20,80000,46.765982,0.14637530186324166,10
base,160,70000,4155.352012,31.860838426990806,10
hybrid1,80,30000,322.457159,17.789596117759054,10
hybrid2,60,50000,454.41116300000004,6.351579860752133,10
hybrid1,140,80000,567.459756,16.554891877953708,10
hybrid2,200,40000,787.911649,19.914582236094933,10
gpu,200,90000,363.892297,27.117614835366098,10
gpu,60,50000,322.974653,113.654135000643,10
hybrid1,20,80000,344.043587,11.971697237883891,10
hybrid2,180,60000,959.3046700000001,9.299779495402646,10
base,60,70000,1483.323215,13.964725124545662,10
cpu_acc,200,60000,308.448625,0.1474338091973729,10
hybrid1,80,100000,527.976243,14.290688548800677,10
cpu_acc,80,30000,64.979966,1.3902006731419916,10
base,100,40000,1486.433546,4.310651352373041,10
cpu_acc,180,40000,187.144444,0.1549709397274193,10
hybrid1,200,20000,338.620763,14.53829925149053,10
gpu,140,30000,283.00054,22.525877433973573,10
hybrid1,100,60000,425.992483,13.577315325025738,10
hybrid1,60,60000,383.01946200000003,32.11732189346871,10
base,180,20000,1339.950402,2.4223189790263477,10
cpu_acc,100,20000,53.964909,0.10215813433104576,10
base,20,90000,406.253689,34.85035554326254,10
hybrid2,40,80000,459.033601,14.394267946035905,10
cpu_acc,120,60000,187.01072,0.31391620130927617,10
hybrid1,40,20000,259.924259,6.03992554613134,10
cpu_acc,20,10000,6.537231,0.037608466969258084,10
hybrid1,120,20000,320.136349,27.776451446396273,10
gpu,120,90000,316.022128,17.693903143482817,10
hybrid2,120,40000,561.984831,13.993296975967098,10
gpu,20,100000,321.754187,21.152103276604304,10
gpu,160,100000,348.937428,17.17993549876898,10
cpu_acc,160,80000,331.640806,0.2841023575403768,10
gpu,40,10000,233.42659400000002,6.001595161855257,10
gpu,160,70000,318.454588,16.583480192810224,10
hybrid2,20,20000,271.208794,12.145713369531927,10
gpu,80,90000,322.182755,9.711105597905526,10
base,40,30000,346.046239,26.18165682016852,10
cpu_acc,80,20000,43.173797,0.16970572072135698,10
cpu_acc,200,70000,364.692719,9.579151394385917,10
base,60,60000,1270.648027,15.161622108406936,10
hybrid1,180,10000,262.74399,8.507051608730256,10
